,CPI_2017,CPI_abs_growth,other_eco_indices,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,SDI_2017,SDI_abs_growth,CO2_capita_2017,CO2_capita_growth,gini_index_2017,gini_growth,moderate_poverty_%_$5.50_2017,moderate_pov_growth,extreme_poverty_%_$1.90_2017,extreme_pov_growth,gdp_per_capita_2017,gdp_capita_growth,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,gender_eq_2017,gender_abs_growth,homicide_rate_2017,homicide_growth
33,35.0,-2.0,30.333333333333332,0.191,0.17600000000000002,0.05,0.006,0.391,1.0,1.0,0.71,-0.017000000000000015,3.5380000000000003,-0.004186583009792133,36.5,-0.014673727614130327,7.6,-0.10855210304312157,0.0,-1.0,6592.915,0.02382877444355258,0.762,12.0,0.74,3.25,-0.03600000000000003,2.582,-0.12022876193287357
34,35.0,2.0,43.624,0.19899999999999998,0.165,0.048,0.003,0.05,1.0,1.0,0.569,-0.0040000000000000036,4.255,0.0027487263746939217,28.7,0.0,91.8,0.0,22.0,0.0,1294.7160000000001,0.050288781901890456,0.624,-2.0,0.13,3.5,0.0,4.096,0.0
35,39.0,6.0,43.0,0.213,0.096,0.002,0.006999999999999999,0.397,1.0,1.0,0.809,-0.0039999999999998925,1.511,0.026155737789478772,33.2,0.027420003812631988,33.8,-0.004091311994542157,1.3,0.10197228772148015,4531.021,0.013001011733332346,0.789,-5.0,0.84,4.1,-0.15000000000000036,2.011,-0.1788984031922436
36,33.0,-1.0,37.0,0.213,0.114,0.021,0.005,0.17,0.0,1.0,0.802,0.009000000000000119,1.7630000000000001,0.01806956612204047,33.6,0.02567439351051015,41.5,-0.029891760585068372,0.9,0.0,3914.5009999999997,0.012329513074013754,0.758,3.0,0.52,4.5,0.0,2.377,0.010683216913614846
37,75.0,6.0,73.33333333333333,0.257,0.111,0.147,0.019,0.56,1.0,1.0,0.24,-0.041000000000000036,7.376,0.004562885394715277,29.7,-0.005301823021995999,0.7,-0.06885008490516231,0.3,-0.12944943670387588,47549.079000000005,-0.004230262771365401,0.912,0.0,0.26,4.1,-0.15000000000000036,0.794,-0.030917038829720966
38,40.0,9.0,45.455666666666666,0.16,0.12,0.141,0.008,0.451,1.0,1.0,0.484,-0.041000000000000036,5.687,0.005070058975201519,25.4,-0.008443265511558828,0.8,-0.07789208851827223,0.0,0.0,5761.746999999999,-0.036532758818340505,0.815,0.0,0.39,4.1,-0.15000000000000036,2.54,-0.06789400130932188
39,77.0,2.0,77.33333333333333,0.34299999999999997,0.139,0.261,0.054000000000000006,0.418,1.0,1.0,0.39399999999999996,-0.12800000000000006,7.962999999999999,-0.007224876615735121,27.4,-0.0007283328924427845,0.3,-0.05591248870509802,0.1,-0.12944943670387588,44288.508,-0.0017278372903583028,0.917,-1.0,0.22,4.1,-0.15000000000000036,1.69,-0.017822550382293856
40,41.0,0.0,38.0,0.19,0.122,1.7,0.006999999999999999,0.419,1.0,1.0,0.737,-0.026000000000000023,6.051,-0.0012840816770077756,40.4,0.023330157291459486,7.9,-0.0739513127810163,1.4,-0.08643159600651418,8331.058,0.024173819266110952,0.813,6.0,0.58,4.1,-0.15000000000000036,1.45,-0.05490004258025594
41,49.0,3.0,45.333333333333336,0.163,0.22899999999999998,0.031,0.013999999999999999,0.39299999999999996,1.0,1.0,0.659,-0.08699999999999997,3.925,0.012424529683668029,30.4,-0.013270654183729635,3.6,-0.11944047821175208,0.5,-0.08971789848695988,13412.338,0.002618591104220691,0.835,-1.0,0.41,4.1,-0.15000000000000036,1.1,-0.015108491139049995
42,55.0,-11.0,54.333333333333336,0.133,0.14800000000000002,0.149,0.016,0.466,1.0,1.0,0.319,-0.01899999999999996,7.4479999999999995,0.013441703003457262,31.4,-0.01751233718763301,0.1,0.0,0.0,0.0,26338.694,-0.018471874729556026,0.871,2.0,0.34,4.1,-0.15000000000000036,0.593,-0.21088520836766078
43,55.0,6.0,51.666666666666664,0.255,0.022000000000000002,0.11,0.008,0.316,1.0,1.0,0.35,-0.062000000000000055,9.602,0.003621604912949161,24.9,-0.00936933386150951,0.4,-0.07789208851827223,0.0,0.0,20379.896,0.006504088915413986,0.888,1.0,0.41,4.1,-0.15000000000000036,0.62,-0.08971789848695988
44,90.0,0.0,87.0,0.273,0.016,0.302,0.03,0.789,1.0,1.0,0.363,-0.019000000000000017,5.421,-0.0072903016904722895,28.7,0.006392566203291317,0.2,0.0,0.1,0.0,57141.06,-0.004715276080461628,0.929,-6.0,0.27,4.1,-0.15000000000000036,1.239,0.08134794077942575
45,70.0,6.0,71.33333333333333,0.247,0.18600000000000003,7.914,0.026000000000000002,0.36,1.0,1.0,0.19899999999999998,-0.060000000000000026,12.137,0.010191457970790907,30.4,-0.015681750441141173,1.0,-0.2216294584488292,0.3,-0.1558791201558899,20388.21,0.030617538413311163,0.879,-1.0,0.54,4.1,-0.15000000000000036,2.198,-0.14322674459251883
46,89.0,-1.0,89.0,0.281,0.013999999999999999,0.365,0.039,0.5,1.0,1.0,0.22699999999999998,-0.007000000000000006,7.734,0.00010347146995837164,27.4,0.0022042829691664156,0.1,-0.12944943670387588,0.1,0.0,46316.745,-0.005913251298364841,0.924,-2.0,0.3,4.1,-0.15000000000000036,1.252,-0.050816472463924955
47,69.0,-2.0,72.0,0.223,0.09,0.162,0.033,0.501,1.0,1.0,0.505,-0.08299999999999996,4.565,0.0028723407425161884,31.6,-0.009232350073845597,0.1,-0.1972584382397693,0.0,-1.0,38812.161,-0.010302118321424802,0.89,-1.0,0.27,4.1,-0.15000000000000036,1.271,0.006089217974991845
48,57.0,5.0,58.43166666666667,0.213,0.03,0.5660000000000001,0.006,0.215,0.0,1.0,0.805,0.016000000000000014,2.346,0.0079437408626446,37.9,-0.005705766736491813,43.0,-0.04768807596968305,5.0,-0.10068835772242513,4357.001,-0.0029490324538226087,0.7829999999999999,5.0,0.91,4.5,0.0,0.971,-0.18351798241409578
49,81.0,2.0,78.33333333333333,0.478,0.13,0.267,0.03,0.625,1.0,1.0,0.37200000000000005,-0.10299999999999992,8.696,-0.005363392355873908,31.9,0.0050925613553616245,0.5,0.20112443398143132,0.0,0.0,44349.59,0.0022300919795492646,0.938,0.0,0.25,4.1,-0.15000000000000036,0.9840000000000001,0.03866175053347409
50,44.0,8.0,43.333333333333336,0.19,0.14,0.02,0.017,0.503,1.0,1.0,0.318,0.0020000000000000018,5.877999999999999,-0.0029341843525898526,34.4,-0.010694636718431405,4.7,-0.056913644204320435,0.9,-0.09711954855256577,18930.218999999997,-0.031736196260018223,0.871,-1.0,0.22,4.1,-0.15000000000000036,0.8140000000000001,-0.11972019857373728
51,48.0,-7.0,50.666666666666664,0.259,0.13,0.061,0.005,0.377,1.0,1.0,0.7090000000000001,-0.07399999999999984,4.678,0.015159103340620428,30.6,-0.0013020877513958418,3.0,-0.06946961300879406,0.6,0.1486983549970351,14457.608999999999,0.02277139119952576,0.841,-1.0,0.28,4.1,-0.15000000000000036,2.487,0.14622031532238688
52,78.0,-4.0,84.33333333333333,0.5579999999999999,0.09,0.021,0.023,1.587,1.0,1.0,0.223,-0.03,6.336,0.003831529904027242,26.8,0.0,0.1,-0.12944943670387588,0.0,0.0,71310.939,0.0920681288429197,0.935,3.0,0.64,4.1,-0.15000000000000036,0.897,0.2391697797177863
53,73.0,4.0,76.66666666666667,0.33,0.124,0.105,0.046,0.5870000000000001,1.0,1.0,0.40399999999999997,-0.066,7.439,-0.002322750423142894,32.8,-0.0024213359320204297,0.7,-0.04902060720441037,0.1,-0.12944943670387588,69822.34700000001,0.07375532640499527,0.9390000000000001,13.0,0.71,4.1,-0.15000000000000036,0.863,-0.052148418132148766
54,47.0,5.0,49.0,0.259,0.11599999999999999,0.147,0.046,0.486,1.0,1.0,0.484,-0.07300000000000006,5.31,-0.004386134037936307,35.9,0.003946007645565075,3.1,0.013427626511878232,1.4,0.03131030647754507,32406.72,-0.015579444831994915,0.8809999999999999,-1.0,0.17,4.1,-0.15000000000000036,0.611,-0.0714194388962398
55,29.0,1.0,34.333333333333336,0.028999999999999998,0.25,0.5660000000000001,0.009000000000000001,0.278,1.0,1.0,0.39399999999999996,-0.09300000000000008,14.179,0.002415315494468162,27.5,-0.005014579459794888,6.6,-0.011699126742268362,0.0,0.0,9247.581,-0.05677673355991597,0.813,9.0,0.84,4.1,-0.15000000000000036,5.061,-0.07707610565137746
56,28.0,4.0,35.098333333333336,0.213,0.11599999999999999,0.8009999999999999,0.001,0.187,1.0,1.0,0.718,0.02200000000000002,1.4369999999999998,-0.028556767499151148,27.3,-0.0007309949335509991,60.5,-0.009632614444789134,1.1,-0.1514244089491117,1242.77,0.01076672783208954,0.6709999999999999,-1.0,0.73,4.5,0.0,4.136,-0.09358566181819128
57,57.0,8.0,52.333333333333336,0.212,0.077,0.053,0.013000000000000001,0.433,1.0,1.0,0.513,-0.1479999999999999,3.4410000000000003,-0.0012738157281075857,35.6,0.0022624665744881423,3.4,-0.14404794396818454,0.8,-0.043647500209963,15586.582,0.0238968116594509,0.8490000000000001,4.0,0.56,4.1,-0.15000000000000036,4.152,0.0418161114407829
58,59.0,5.0,57.666666666666664,0.22899999999999998,0.102,0.057,0.027999999999999997,0.44799999999999995,1.0,1.0,0.276,-0.09600000000000003,3.8310000000000004,0.010725592155022223,37.3,0.012232653529579363,3.8,-0.07128131891971301,1.0,0.021295687600135116,16882.639,0.03319560312325809,0.866,5.0,0.67,4.1,-0.15000000000000036,4.534,-0.07326769217471352
59,81.0,1.0,84.33333333333333,0.284,0.18,0.41600000000000004,0.013000000000000001,0.625,1.0,1.0,0.484,-0.041000000000000036,14.458,-0.013490832206095482,34.9,0.0034743165018535915,0.7,0.18466445254224406,0.3,0.0,107627.151,0.0016398497011711477,0.9079999999999999,2.0,0.22,4.1,-0.15000000000000036,0.33799999999999997,0.0
60,37.0,-6.0,49.43166666666667,0.002,0.139,0.02,0.001,0.38299999999999995,1.0,1.0,0.7040000000000001,-0.013000000000000012,3.572,0.008087306840614428,34.2,-0.02136616675266434,19.5,-0.08971789848695988,4.6,-0.07789208851827223,5430.874,0.029410837352945585,0.758,2.0,0.41,4.1,-0.15000000000000036,1.489,0.012692294012166094
61,55.0,-2.0,57.0,0.067,0.12,0.085,0.018000000000000002,0.623,1.0,1.0,0.758,0.456,3.261,-0.025206740871821953,29.2,-0.001364261562015967,0.3,-0.05591248870509802,0.2,0.1486983549970351,27239.07,0.04444256809755931,0.883,2.0,0.55,4.1,-0.15000000000000036,2.055,-0.06298636391059775
