,Country,Region,CPI_2012,CPI_2013,CPI_2014,CPI_2015,CPI_2016,CPI_2017,World Economic Forum EOS,Global Insight Country Risk Ratings,PRS International Country Risk Guide,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,CO2_capita_2012,CO2_capita_2013,CO2_capita_2014,CO2_capita_2015,CO2_capita_2016,CO2_capita_2017,SDI_2012,SDI_2013,SDI_2014,SDI_2015,SDI_2016,SDI_2017,gender_eq_2012,gender_eq_2013,gender_eq_2014,gender_eq_2015,gender_eq_2016,gender_eq_2017,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,gini_index_2012,gini_index_2013,gini_index_2014,gini_index_2015,gini_index_2016,gini_index_2017,income_share_top10%_2012,income_share_top10%_2013,income_share_top10%_2014,income_share_top10%_2015,income_share_top10%_2016,income_share_top10%_2017,moderate_poverty_%_$5.50_2012,moderate_poverty_%_$5.50_2013,moderate_poverty_%_$5.50_2014,moderate_poverty_%_$5.50_2015,moderate_poverty_%_$5.50_2016,moderate_poverty_%_$5.50_2017,extreme_poverty_%_$1.90_2012,extreme_poverty_%_$1.90_2013,extreme_poverty_%_$1.90_2014,extreme_poverty_%_$1.90_2015,extreme_poverty_%_$1.90_2016,extreme_poverty_%_$1.90_2017,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
73,Spain,Europe and Central Asia,65.0,59.0,60.0,58.0,58.0,58.0,51.0,59.0,58.0,0.168,0.09,0.064,0.026,0.434,1.0,1.0,5.324,5.324,5.324,5.324,5.111,5.446,0.532,0.542,0.53,0.485,0.44,0.395,4.25,4.188,4.0,4.1,4.1,4.1,0.87,0.875,0.88,0.885,0.888,0.891,1.0,0.4,0.773,0.644,0.69,0.647,0.63,0.658,35.4,36.2,36.1,36.2,35.8,34.7,25.8,25.9,26.0,26.2,25.9,25.4,3.1,3.4,2.9,3.2,3.2,2.2,0.9,1.2,0.8,0.9,1.2,0.7,28324.429,29059.548,29461.55,25732.018,26505.343,28170.435
74,Sweden,Europe and Central Asia,88.0,89.0,87.0,89.0,88.0,88.0,86.0,83.0,93.0,0.324,0.066,0.262,0.074,0.447,1.0,1.0,3.787,3.787,3.787,3.787,3.828,3.743,0.338,0.332,0.329,0.328,0.327,0.326,4.25,4.188,4.0,4.1,4.1,4.1,0.925,0.927,0.93,0.932,0.934,0.935,-4.0,0.42,0.713,0.905,0.898,1.147,1.078,1.141,27.6,28.8,28.4,29.2,29.6,28.8,21.6,22.2,22.2,22.9,23.3,22.3,0.9,1.1,0.9,1.0,0.6,0.5,0.5,0.6,0.5,0.4,0.3,0.2,58037.821,61126.943,60020.36,51545.484,51965.157,53791.509
75,Switzerland,Europe and Central Asia,86.0,85.0,86.0,86.0,86.0,86.0,80.0,83.0,85.0,0.32,0.15,0.143,0.022,0.723,1.0,1.0,4.507,4.507,4.507,4.507,4.521,4.394,0.284,0.268,0.268,0.263,0.258,0.253,4.25,4.188,4.0,4.1,4.1,4.1,0.936,0.938,0.94,0.943,0.943,0.943,0.0,0.18,0.562,0.703,0.5,0.687,0.537,0.532,31.6,32.5,32.5,32.3,33.0,32.7,25.0,25.5,25.5,25.2,25.8,25.5,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,83538.23,85112.464,86605.563,82081.597,80172.232,80449.995
76,Turkey,Europe and Central Asia,49.0,50.0,45.0,42.0,41.0,41.0,49.0,47.0,41.0,0.213,0.03,0.044,0.008,0.4,1.0,1.0,4.078,4.078,4.078,4.078,4.275,4.714,0.675,0.676,0.666,0.662,0.658,0.654,4.25,4.188,4.0,4.1,4.1,4.1,0.772,0.781,0.79,0.8,0.8,0.805,5.0,1.03,4.308,4.308,4.308,2.846,3.338,3.086,40.2,40.2,41.2,42.9,41.9,41.4,30.5,30.6,31.6,33.5,32.1,31.9,12.3,10.7,10.0,10.7,9.5,8.7,0.1,0.3,0.2,0.2,0.2,0.1,11707.26,12519.391,12095.855,10948.725,10820.634,10513.648
77,Ukraine,Europe and Central Asia,26.0,25.0,26.0,27.0,29.0,29.0,27.0,34.0,24.0,0.032,0.07,9.955,0.006,0.339,1.0,1.0,4.154,4.154,4.154,4.154,4.391,3.821,0.736,0.726,0.732,0.732,0.732,0.732,4.25,4.188,4.0,4.1,4.1,4.1,0.745,0.744,0.743,0.742,0.746,0.747,-5.0,0.29,5.139,5.139,6.307,6.307,6.307,6.184,24.7,24.6,24.0,25.5,25.0,26.0,20.8,21.1,20.6,21.6,21.2,21.7,3.4,2.8,2.5,6.3,5.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3855.418,4029.711,3104.643,2124.662,2187.731,2640.676
78,United Kingdom,Europe and Central Asia,74.0,76.0,78.0,81.0,81.0,81.0,80.0,71.0,85.0,0.272,0.202,0.088,0.055,0.485,1.0,1.0,6.053,6.053,6.053,6.053,5.675,5.432,0.401,0.401,0.403,0.399,0.395,0.391,4.25,4.188,4.0,4.1,4.1,4.1,0.913,0.914,0.915,0.916,0.918,0.919,-3.0,0.21,0.96,0.915,0.888,0.985,1.212,1.238,32.3,33.2,34.0,33.2,34.8,34.8,24.6,25.3,26.1,25.4,26.8,26.8,0.6,0.4,0.6,0.7,0.5,0.5,0.2,0.2,0.2,0.1,0.2,0.2,42462.772,43444.533,47425.608,44974.832,41064.133,40361.417
79,Egypt,Middle East and North Africa,32.0,32.0,37.0,36.0,34.0,34.0,42.0,22.0,32.0,0.125,0.13,0.004,0.006,0.239,1.0,0.0,2.128,2.128,2.128,2.128,2.133,2.145,0.721,0.727,0.729,0.737,0.745,0.753,2.5,2.5,2.5,2.25,2.25,2.25,0.677,0.681,0.686,0.69,0.695,0.696,-2.0,0.62,2.554,2.554,2.554,2.554,2.554,2.554,28.3,28.3,28.3,31.8,31.8,31.5,24.8,25.8,26.8,27.8,27.35,26.9,67.7,66.6,65.5,64.4,68.5,72.6,1.5,1.533,1.567,1.6,2.7,3.8,3232.649,3264.379,3378.831,3598.971,3525.02,2440.51
80,Iran,Middle East and North Africa,28.0,25.0,27.0,27.0,29.0,29.0,34.0,34.0,24.0,0.05,0.085,0.1,0.008,0.223,1.0,1.0,6.972,6.972,6.972,6.972,6.906,6.987,0.656,0.667,0.648,0.632,0.616,0.6,2.5,2.5,2.5,2.25,2.25,2.25,0.783,0.785,0.787,0.789,0.799,0.799,-3.0,0.68,2.663,2.663,2.499,2.499,2.499,2.499,37.4,37.4,38.8,39.5,40.0,40.8,29.0,29.0,29.8,30.6,30.8,31.3,9.9,9.9,12.3,12.7,13.5,12.9,0.1,0.1,0.4,0.4,0.4,0.3,7927.847,6018.324,5585.527,4904.327,5253.425,5520.311
81,Iraq,Middle East and North Africa,18.0,16.0,16.0,16.0,17.0,17.0,50.8,10.0,15.0,0.096,0.053,0.001,0.006,0.364,0.0,0.0,3.621,3.621,3.621,3.621,3.772,3.655,0.696,0.699,0.697,0.698,0.699,0.7,2.5,2.5,2.5,2.25,2.25,2.25,0.661,0.662,0.664,0.665,0.672,0.684,-1.0,0.68,8.457,10.07,10.07,10.07,10.07,10.07,29.5,29.5,29.5,29.5,29.5,29.5,23.7,23.7,23.7,23.7,23.7,23.7,52.4,52.4,52.4,52.4,52.4,52.4,1.7,1.7,1.7,1.7,1.7,1.7,6836.027,7076.555,6818.805,4989.803,4776.726,5205.288
82,Israel,Middle East and North Africa,60.0,61.0,60.0,61.0,64.0,64.0,69.0,59.0,58.0,0.25,0.18,0.038,0.014,0.644,1.0,1.0,7.631,7.631,7.631,7.631,7.384,7.322,0.432,0.435,0.437,0.423,0.409,0.395,2.5,2.5,2.5,2.25,2.25,2.25,0.892,0.895,0.898,0.901,0.902,0.904,-1.0,0.27,1.681,1.642,1.375,1.379,1.283,1.492,41.3,41.3,39.8,39.8,39.0,39.0,29.6,28.9,28.2,28.0,27.8,27.8,4.5,4.0,3.5,3.1,2.7,2.7,0.5,0.5,0.5,0.35,0.2,0.2,32511.238,36309.469,37678.89,35776.795,37321.624,40541.862
83,Morocco,Middle East and North Africa,37.0,37.0,39.0,36.0,37.0,37.0,42.0,34.0,41.0,0.08,0.08,0.008,0.001,0.2,0.0,1.0,1.591,1.591,1.591,1.591,1.568,1.627,0.685,0.694,0.7,0.706,0.712,0.718,2.5,2.5,2.5,2.25,2.25,2.25,0.639,0.646,0.653,0.66,0.669,0.675,2.0,1.14,1.152,1.272,1.038,1.243,1.691,2.139,39.5,39.5,39.5,39.5,39.5,39.5,31.9,31.9,31.9,31.9,31.9,31.9,30.2,30.2,30.2,30.2,30.2,30.2,0.9,0.9,0.9,0.9,0.9,0.9,2912.658,3121.681,3171.699,2875.258,2896.72,3036.325
84,Tunisia,Middle East and North Africa,41.0,41.0,40.0,38.0,41.0,41.0,37.0,47.0,41.0,0.04,0.11,0.013,0.008,0.242,1.0,1.0,2.272,2.272,2.272,2.272,2.211,2.268,0.769,0.773,0.773,0.774,0.775,0.776,2.5,2.5,2.5,2.25,2.25,2.25,0.722,0.725,0.728,0.731,0.736,0.738,3.0,0.39,3.061,3.061,3.061,3.061,3.061,3.061,32.8,32.8,32.8,32.8,32.8,32.8,25.6,25.6,25.6,25.6,25.6,25.6,17.5,17.5,17.5,17.5,17.5,17.5,0.2,0.2,0.2,0.2,0.2,0.2,4152.679,4222.703,4305.474,3861.689,3697.931,3481.229
85,Yemen,Middle East and North Africa,23.0,18.0,19.0,18.0,14.0,14.0,12.0,10.0,15.0,0.08,0.1,0.001,0.002,0.175,1.0,1.0,0.433,0.433,0.433,0.433,0.34,0.316,0.543,0.545,0.544,0.52,0.496,0.472,2.0,2.0,2.0,1.5,1.5,1.5,0.512,0.506,0.5,0.493,0.477,0.463,-18.0,-0.94,6.603,6.772,6.772,6.772,6.772,6.772,36.7,36.7,36.7,36.7,36.7,36.7,29.4,29.4,29.4,29.4,29.4,29.4,81.0,81.0,81.0,81.0,81.0,81.0,18.3,18.3,18.3,18.3,18.3,18.3,1446.536,1607.152,1673.146,1395.44,1033.733,882.396
86,Benin,Sub-Saharan Africa,36.0,36.0,39.0,37.0,36.0,36.0,20.0,34.0,30.656,0.25,0.073,0.012,0.001,0.124,1.0,1.0,0.498,0.498,0.498,0.498,0.607,0.605,0.527,0.539,0.544,0.547,0.55,0.553,3.5,3.5,3.5,3.5,3.5,3.5,0.495,0.5,0.505,0.51,0.512,0.515,0.0,1.19,1.127,1.127,1.127,1.127,1.127,1.127,47.8,47.8,47.8,47.8,47.8,47.8,37.6,37.6,37.6,37.6,37.6,37.6,90.6,90.6,90.6,90.6,90.6,90.6,49.6,49.6,49.6,49.6,49.6,49.6,1145.141,1251.211,1291.41,1076.798,1087.288,1136.593
87,Burkina Faso,Sub-Saharan Africa,38.0,38.0,38.0,38.0,42.0,42.0,32.194,47.0,41.0,0.12,0.09,0.0,0.001,0.142,0.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.425,0.432,0.436,0.444,0.452,0.46,3.5,3.5,3.5,3.5,3.5,3.5,0.395,0.401,0.407,0.413,0.42,0.429,3.0,1.84,0.694,0.709,0.739,0.646,1.121,1.25,35.3,35.3,35.3,35.3,35.3,35.3,29.6,29.6,29.6,29.6,29.6,29.6,92.3,92.3,92.3,92.3,92.3,92.3,43.8,43.8,43.8,43.8,43.8,43.8,758.001,787.47,792.847,653.327,687.67,738.274
88,Burundi,Sub-Saharan Africa,19.0,21.0,20.0,21.0,20.0,20.0,24.0,22.0,30.656,0.091,0.035,0.012,0.001,0.278,1.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.44,0.446,0.453,0.45,0.447,0.444,4.0,4.0,4.0,4.0,4.0,4.0,0.42,0.422,0.424,0.427,0.427,0.421,-3.0,0.65,5.408,5.451,5.729,4.537,6.055,6.055,38.6,38.6,38.6,38.6,38.6,38.6,31.0,31.0,31.0,31.0,31.0,31.0,96.9,96.9,96.9,96.9,96.9,96.9,72.8,72.8,72.8,72.8,72.8,72.8,252.359,256.976,274.858,305.55,282.193,292.998
89,Cabo Verde,Sub-Saharan Africa,60.0,58.0,57.0,55.0,59.0,59.0,49.0,59.0,30.656,0.091,0.085,0.007,0.005,0.258,1.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.682,0.689,0.69,0.693,0.696,0.699,4.5,4.5,4.5,4.0,4.0,4.0,0.64,0.641,0.642,0.643,0.645,0.647,-1.0,0.48,11.084,10.552,12.542,8.766,11.673,7.07,42.4,42.4,42.4,42.4,42.4,42.4,32.3,32.3,32.3,32.3,32.3,32.3,41.3,41.3,41.3,41.3,41.3,41.3,3.4,3.4,3.4,3.4,3.4,3.4,3447.524,3615.979,3588.674,3043.014,3130.963,3292.646
90,Cameroon,Sub-Saharan Africa,26.0,25.0,27.0,27.0,26.0,26.0,22.0,34.0,32.0,0.004,0.033,0.0,0.001,0.151,1.0,1.0,0.26,0.26,0.26,0.26,0.26,0.256,0.567,0.576,0.585,0.59,0.595,0.6,3.0,3.0,3.0,3.0,3.0,3.0,0.522,0.531,0.54,0.548,0.556,0.56,3.0,2.26,4.096,4.096,0.935,1.155,1.154,1.388,46.6,46.6,46.6,46.6,46.6,46.6,35.0,35.0,35.0,35.0,35.0,35.0,71.1,71.1,71.1,71.1,71.1,71.1,26.0,26.0,26.0,26.0,26.0,26.0,1354.546,1465.639,1542.62,1327.503,1364.33,1425.108
91,Ethiopia,Sub-Saharan Africa,33.0,33.0,33.0,33.0,34.0,34.0,37.0,34.0,32.0,0.091,0.023,0.012,0.0,0.065,1.0,1.0,0.101,0.101,0.101,0.101,0.116,0.124,0.463,0.472,0.479,0.486,0.493,0.5,3.0,3.0,3.0,3.0,3.0,3.0,0.432,0.439,0.446,0.453,0.46,0.466,3.0,1.66,8.792,8.792,8.792,8.792,8.792,8.792,35.0,35.0,35.0,35.0,35.0,35.0,28.5,28.5,28.5,28.5,28.5,28.5,90.7,90.7,90.7,90.7,90.7,90.7,32.6,32.6,32.6,32.6,32.6,32.6,467.078,499.532,566.926,640.542,717.125,768.522
92,Ghana,Sub-Saharan Africa,45.0,46.0,48.0,47.0,43.0,43.0,30.0,34.0,50.0,0.091,0.04,0.012,0.002,0.164,1.0,1.0,0.511,0.511,0.511,0.511,0.46,0.478,0.614,0.622,0.621,0.63,0.639,0.648,4.0,4.0,4.0,4.0,4.0,4.0,0.574,0.578,0.581,0.585,0.587,0.591,-3.0,0.91,2.154,2.071,1.995,1.885,1.928,2.091,42.4,42.4,42.4,42.4,43.5,43.5,31.8,31.9,32.0,32.1,32.2,32.2,59.8,58.925,58.05,57.175,56.3,56.3,11.6,11.95,12.3,12.65,13.0,13.0,1587.561,2345.393,1971.033,1743.851,1931.389,2025.932
93,Kenya,Sub-Saharan Africa,27.0,27.0,25.0,25.0,26.0,26.0,30.0,22.0,24.0,0.08,0.187,0.012,0.0,0.135,1.0,1.0,0.312,0.312,0.312,0.312,0.336,0.327,0.602,0.61,0.616,0.623,0.63,0.637,3.5,3.5,3.5,3.5,3.5,3.5,0.546,0.551,0.556,0.562,0.568,0.574,0.0,1.04,5.354,5.382,4.936,4.722,4.817,4.91,40.8,40.8,40.8,40.8,40.8,40.8,31.6,31.6,31.6,31.6,31.6,31.6,86.6,86.6,86.6,86.6,86.6,86.6,37.1,37.1,37.1,37.1,37.1,37.1,1136.871,1210.388,1315.805,1336.883,1410.528,1572.335
94,Lesotho,Sub-Saharan Africa,45.0,49.0,49.0,44.0,39.0,39.0,20.0,59.0,30.656,0.091,0.085,0.012,0.001,0.037,1.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.533,0.535,0.539,0.541,0.543,0.545,4.0,4.0,4.0,4.0,4.0,4.0,0.48,0.486,0.492,0.499,0.507,0.514,2.0,1.46,31.812,32.437,32.437,43.565,43.565,43.565,44.9,44.9,44.9,44.9,44.9,44.9,32.9,32.9,32.9,32.9,32.9,32.9,73.7,73.7,73.7,73.7,73.7,73.7,27.8,27.8,27.8,27.8,27.8,27.8,1253.696,1193.713,1223.333,1152.14,1043.57,1150.079
95,Liberia,Sub-Saharan Africa,41.0,38.0,37.0,37.0,37.0,37.0,45.0,34.0,41.0,0.091,0.085,0.012,0.002,0.161,1.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.453,0.462,0.464,0.465,0.466,0.467,3.0,3.0,3.0,3.0,3.0,3.0,0.463,0.463,0.463,0.463,0.463,0.466,-4.0,0.67,3.264,3.264,3.264,3.264,3.264,3.264,33.2,33.2,33.2,33.2,35.3,35.3,26.0,26.0,26.0,26.55,27.1,27.1,94.1,94.1,94.1,93.65,93.2,93.2,41.7,41.7,41.7,43.05,44.4,44.4,657.936,721.93,721.183,710.384,714.623,698.702
96,Malawi,Sub-Saharan Africa,37.0,37.0,33.0,31.0,31.0,31.0,27.0,34.0,32.0,0.091,0.085,0.012,0.001,0.078,1.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.49,0.497,0.504,0.506,0.508,0.51,3.5,3.5,3.5,3.5,3.5,3.5,0.457,0.463,0.469,0.475,0.478,0.482,0.0,1.32,1.812,1.812,1.812,1.812,1.812,1.812,44.7,44.7,44.7,44.7,44.7,44.7,38.1,38.1,38.1,38.1,38.1,38.1,96.8,96.8,96.8,96.8,96.8,96.8,70.8,70.8,70.8,70.8,70.8,70.8,391.562,348.43,371.27,380.597,315.777,356.718
97,Mauritius,Sub-Saharan Africa,57.0,52.0,54.0,53.0,54.0,54.0,53.0,59.0,30.656,0.091,0.124,0.013,0.009,0.347,1.0,1.0,3.141,3.141,3.141,3.141,3.2,3.306,0.664,0.647,0.631,0.615,0.599,0.583,3.192,3.205,3.237,3.211,3.171,3.128,0.77,0.775,0.78,0.786,0.79,0.793,1.0,0.79,2.234,2.788,1.511,1.667,1.664,2.61,38.5,38.5,38.5,38.5,38.5,36.8,31.6,31.26,30.92,30.58,30.24,29.9,17.9,16.86,15.82,14.78,13.74,12.7,0.6,0.52,0.44,0.36,0.28,0.2,9291.228,9637.003,10153.938,9260.447,9681.619,10484.908
98,Namibia,Sub-Saharan Africa,48.0,48.0,49.0,53.0,52.0,52.0,49.0,59.0,50.0,0.045,0.085,0.012,0.009,0.165,1.0,1.0,1.59,1.59,1.59,1.59,1.606,1.593,0.646,0.656,0.664,0.67,0.676,0.682,3.192,3.205,3.237,3.211,3.171,3.128,0.614,0.622,0.63,0.637,0.639,0.643,-3.0,1.17,17.678,17.678,17.678,17.678,17.678,17.678,59.1,59.1,59.1,59.1,59.1,59.1,47.3,47.3,47.3,47.3,47.3,47.3,51.0,51.0,51.0,51.0,51.0,51.0,13.8,13.8,13.8,13.8,13.8,13.8,5942.274,5377.727,5435.172,4869.378,4523.091,5303.309
99,Niger,Sub-Saharan Africa,33.0,34.0,35.0,34.0,35.0,35.0,32.194,34.0,24.0,0.04,0.02,0.063,0.001,0.211,1.0,1.0,0.098,0.098,0.098,0.098,0.094,0.095,0.362,0.366,0.372,0.374,0.376,0.378,2.5,2.5,2.5,2.5,2.5,2.5,0.337,0.345,0.352,0.36,0.365,0.373,-1.0,2.09,4.428,4.428,4.428,4.428,4.428,4.428,34.3,34.3,34.3,34.3,34.3,34.3,27.0,27.0,27.0,27.0,27.0,27.0,93.6,93.6,93.6,93.6,93.6,93.6,45.4,45.4,45.4,45.4,45.4,45.4,526.351,548.893,562.122,483.339,494.719,516.888
100,Rwanda,Sub-Saharan Africa,53.0,53.0,49.0,54.0,54.0,54.0,76.0,59.0,30.656,0.091,0.085,0.012,0.0,0.368,1.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.539,0.541,0.549,0.55,0.551,0.552,4.0,4.0,4.0,4.5,4.5,4.5,0.502,0.506,0.51,0.515,0.525,0.529,2.0,1.19,2.427,3.321,3.862,2.577,2.577,2.577,45.1,45.1,45.1,45.1,43.7,43.7,37.9,37.9,37.133,36.367,35.6,35.6,92.6,92.6,92.367,92.133,91.9,91.9,57.9,57.9,57.433,56.967,56.5,56.5,728.697,726.18,747.001,754.907,748.504,772.318
101,South Africa,Sub-Saharan Africa,43.0,42.0,44.0,44.0,45.0,45.0,49.0,47.0,41.0,0.28,0.071,0.025,0.006,0.357,1.0,1.0,7.565,7.565,7.565,7.565,7.474,7.435,0.653,0.665,0.667,0.675,0.683,0.691,3.192,3.205,3.237,3.211,3.171,3.128,0.675,0.683,0.691,0.699,0.702,0.704,0.0,0.78,30.687,31.708,32.643,33.714,33.832,35.704,63.0,63.0,63.0,63.0,63.0,63.0,50.5,50.5,50.5,50.5,50.5,50.5,56.9,56.9,56.9,56.9,56.9,56.9,18.7,18.7,18.7,18.7,18.7,18.7,7501.47,6832.457,6433.187,5734.634,5272.918,6132.48
102,Tanzania,Sub-Saharan Africa,35.0,33.0,31.0,30.0,32.0,32.0,27.0,22.0,32.0,0.091,0.085,0.012,0.001,0.189,1.0,1.0,0.194,0.194,0.194,0.194,0.174,0.177,0.546,0.545,0.555,0.569,0.583,0.597,3.5,3.5,3.5,3.5,3.5,3.0,0.495,0.503,0.511,0.519,0.518,0.522,2.0,1.03,8.697,7.625,7.81,7.276,6.483,6.483,40.5,40.5,40.5,40.5,40.5,40.5,33.1,33.1,33.1,33.1,33.1,33.1,91.8,91.8,91.8,91.8,91.8,91.8,49.4,49.4,49.4,49.4,49.4,49.4,867.868,970.417,1030.093,947.933,966.475,1004.841
103,Uganda,Sub-Saharan Africa,29.0,26.0,26.0,25.0,25.0,25.0,27.0,22.0,24.0,0.06,0.076,0.012,0.001,0.201,1.0,1.0,0.998,0.998,0.998,0.998,0.995,1.002,0.529,0.534,0.539,0.544,0.549,0.554,3.5,3.5,3.5,3.5,3.0,3.0,0.497,0.503,0.509,0.515,0.52,0.522,2.0,0.97,11.765,10.806,12.118,12.118,11.304,11.502,41.0,41.0,41.0,41.0,42.8,42.8,32.9,33.225,33.55,33.875,34.2,34.2,87.0,87.175,87.35,87.525,87.7,87.7,35.7,37.15,38.6,40.05,41.5,41.5,783.718,803.509,876.354,840.402,730.625,747.197
104,Zambia,Sub-Saharan Africa,37.0,38.0,38.0,38.0,38.0,38.0,31.0,34.0,41.0,0.091,0.085,0.006,0.001,0.183,1.0,1.0,0.216,0.216,0.216,0.216,0.225,0.351,0.612,0.618,0.625,0.628,0.631,0.634,3.0,3.0,3.0,3.0,3.0,3.0,0.554,0.559,0.564,0.57,0.58,0.589,0.0,1.35,6.118,5.808,5.357,5.372,5.372,5.372,57.1,57.1,57.1,57.1,57.1,57.1,44.4,44.4,44.4,44.4,44.4,44.4,88.1,88.1,88.1,88.1,88.1,88.1,58.7,58.7,58.7,58.7,58.7,58.7,1763.073,1878.907,1763.057,1337.796,1280.579,1534.865
105,Zimbabwe,Sub-Saharan Africa,20.0,21.0,21.0,21.0,22.0,22.0,30.0,22.0,15.0,0.16,0.23,0.003,0.001,0.116,1.0,1.0,0.749,0.749,0.749,0.749,0.642,0.588,0.544,0.556,0.566,0.569,0.572,0.575,3.0,3.0,4.0,4.0,4.0,4.0,0.519,0.527,0.535,0.543,0.549,0.553,4.0,2.22,7.48,7.48,7.48,7.48,7.48,7.48,44.3,44.3,44.3,44.3,44.3,44.3,34.8,34.8,34.8,34.8,34.8,34.8,81.3,81.3,81.3,81.3,81.3,81.3,33.9,33.9,33.9,33.9,33.9,33.9,1304.97,1430.001,1434.899,1445.071,1464.584,1548.17
